menu_row_id,original_date,normalized_date,original_meal,normalized_meal,hostel_scope,original_dish,canonical_dish,is_dessert_flag,provenance_notes
21,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Banana,Banana,False,DIRECT_MENU_ITEM
22,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Fat Spread,Fat Spread,False,DIRECT_MENU_ITEM
23,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Jam,Jam,False,DIRECT_MENU_ITEM
24,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Bread,Bread,False,DIRECT_MENU_ITEM
25,2026-10-02,2026-10-02,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
26,2026-10-02,2026-10-02,Lunch,LUNCH,COMMON,Sabut Masoor Dal Aloo Capsicum,Sabut Masoor,False,COMPOUND_SPLIT_PRIMARY
27,2026-10-02,2026-10-02,Lunch,LUNCH,COMMON,Sabut Masoor Dal Aloo Capsicum,Aloo Capsicum,False,COMPOUND_SPLIT_SECONDARY
28,2026-10-02,2026-10-02,Lunch,LUNCH,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
29,2026-10-02,2026-10-02,Lunch,LUNCH,COMMON,Mix Raita,Mix Raita,False,CANONICAL_MAPPING
30,2026-10-02,2026-10-02,Lunch,LUNCH,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
31,2026-10-02,2026-10-02,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
32,2026-10-02,2026-10-02,E-Tea,E_TEA,COMMON,Bread Pakora,Bread Pakora,False,DIRECT_MENU_ITEM
33,2026-10-02,2026-10-02,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
34,2026-10-02,2026-10-02,Girls Hostel,E_TEA,GIRLS_HOSTEL,Pink Sauce Pasta,Pink Sauce Pasta,False,DIRECT_MENU_ITEM
35,2026-10-02,2026-10-02,Girls Hostel,E_TEA,GIRLS_HOSTEL,Coffee,Coffee,False,DIRECT_MENU_ITEM
36,2026-10-02,2026-10-02,Dinner,DINNER,COMMON,Yellow Dal Tadka,Yellow Dal Tadka,False,CANONICAL_MAPPING
37,2026-10-02,2026-10-02,Dinner,DINNER,COMMON,Gobhi Matar,Gobhi Matar,False,DIRECT_MENU_ITEM
38,2026-10-02,2026-10-02,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
39,2026-10-02,2026-10-02,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
40,2026-10-02,2026-10-02,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
41,2026-10-03,2026-10-03,Breakfast,BREAKFAST,COMMON,Stuffed Paratha,Stuffed Paratha,False,DIRECT_MENU_ITEM
42,2026-10-03,2026-10-03,Breakfast,BREAKFAST,COMMON,Curd,Plain Curd,False,CANONICAL_MAPPING
43,2026-10-03,2026-10-03,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
44,2026-10-03,2026-10-03,Breakfast,BREAKFAST,COMMON,Fat Spread,Fat Spread,False,DIRECT_MENU_ITEM
45,2026-10-03,2026-10-03,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
46,2026-10-03,2026-10-03,Lunch,LUNCH,COMMON,Black Dal Tadka,Black Dal Tadka,False,CANONICAL_MAPPING
47,2026-10-03,2026-10-03,Lunch,LUNCH,COMMON,Veg Jaipuri,Veg Jaipuri,False,DIRECT_MENU_ITEM
48,2026-10-03,2026-10-03,Lunch,LUNCH,COMMON,Boondi Raita,Boondi Raita,False,CANONICAL_MAPPING
49,2026-10-03,2026-10-03,Lunch,LUNCH,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
50,2026-10-03,2026-10-03,Lunch,LUNCH,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
51,2026-10-03,2026-10-03,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
52,2026-10-03,2026-10-03,E-Tea,E_TEA,COMMON,Pink Sauce Pasta,Pink Sauce Pasta,False,DIRECT_MENU_ITEM
53,2026-10-03,2026-10-03,E-Tea,E_TEA,COMMON,Coffee,Coffee,False,DIRECT_MENU_ITEM
54,2026-10-03,2026-10-03,Girls Hostel,E_TEA,GIRLS_HOSTEL,Namkeen,Namkeen,False,DIRECT_MENU_ITEM
55,2026-10-03,2026-10-03,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
56,2026-10-03,2026-10-03,Dinner,DINNER,COMMON,Veg Manchurian,Veg Manchurian,False,DIRECT_MENU_ITEM
57,2026-10-03,2026-10-03,Dinner,DINNER,COMMON,Veg Fried Rice,Veg Fried Rice,False,CANONICAL_MAPPING
58,2026-10-03,2026-10-03,Dinner,DINNER,COMMON,Black Chana,Black Chana,False,DIRECT_MENU_ITEM
59,2026-10-03,2026-10-03,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
60,2026-10-03,2026-10-03,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
61,2026-10-03,2026-10-03,Dessert,DINNER,COMMON,Chocolate,Chocolate,True,DIRECT_MENU_ITEM_DESSERT_ATTACHED_TO_DINNER
62,2026-10-04,2026-10-04,Breakfast,BREAKFAST,COMMON,Chole Bhature,Chole Bhature,False,DIRECT_MENU_ITEM
63,2026-10-04,2026-10-04,Breakfast,BREAKFAST,COMMON,Green Chilli,Green Chilli,False,DIRECT_MENU_ITEM
64,2026-10-04,2026-10-04,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
65,2026-10-04,2026-10-04,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
66,2026-10-04,2026-10-04,Breakfast,BREAKFAST,COMMON,Onion,Onion,False,DIRECT_MENU_ITEM
67,2026-10-04,2026-10-04,Lunch,LUNCH,COMMON,Veg Biryani,Veg Biryani,False,CANONICAL_MAPPING
68,2026-10-04,2026-10-04,Lunch,LUNCH,COMMON,Tam Aloo,Dum Aloo,False,SPELLING_NORMALISATION
69,2026-10-04,2026-10-04,Lunch,LUNCH,COMMON,Raita Mix,Mix Raita,False,CANONICAL_MAPPING
70,2026-10-04,2026-10-04,Lunch,LUNCH,COMMON,Beetroot Cucumber Salad,Beetroot Cucumber Salad,False,DIRECT_MENU_ITEM
71,2026-10-04,2026-10-04,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
72,2026-10-04,2026-10-04,E-Tea,E_TEA,COMMON,Chocolate Pie,Chocolate Pie,False,DIRECT_MENU_ITEM
73,2026-10-04,2026-10-04,E-Tea,E_TEA,COMMON,Coffee,Coffee,False,DIRECT_MENU_ITEM
74,2026-10-04,2026-10-04,Girls Hostel,E_TEA,GIRLS_HOSTEL,Bread Pakora,Bread Pakora,False,DIRECT_MENU_ITEM
75,2026-10-04,2026-10-04,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
76,2026-10-04,2026-10-04,Dinner,DINNER,COMMON,Paneer Kolhapuri,Paneer Kolhapuri,False,DIRECT_MENU_ITEM
77,2026-10-04,2026-10-04,Dinner,DINNER,COMMON,Egg Curry,Egg Curry,False,DIRECT_MENU_ITEM
78,2026-10-04,2026-10-04,Dinner,DINNER,COMMON,Moong Sabut,Moong Sabut,False,CANONICAL_MAPPING
79,2026-10-04,2026-10-04,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
80,2026-10-04,2026-10-04,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
81,2026-10-04,2026-10-04,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
82,2026-10-05,2026-10-05,Breakfast,BREAKFAST,COMMON,Pav Bhaji,Pav Bhaji,False,DIRECT_MENU_ITEM
83,2026-10-05,2026-10-05,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
84,2026-10-05,2026-10-05,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
85,2026-10-05,2026-10-05,Breakfast,BREAKFAST,COMMON,Milk,Milk,False,DIRECT_MENU_ITEM
86,2026-10-05,2026-10-05,Lunch,LUNCH,COMMON,Rajmah Ghiya Masala,Rajmah,False,COMPOUND_SPLIT_PRIMARY
87,2026-10-05,2026-10-05,Lunch,LUNCH,COMMON,Rajmah Ghiya Masala,Ghiya Masala,False,COMPOUND_SPLIT_SECONDARY
88,2026-10-05,2026-10-05,Lunch,LUNCH,COMMON,Jeera Rice,Jeera Rice,False,CANONICAL_MAPPING
89,2026-10-05,2026-10-05,Lunch,LUNCH,COMMON,Boondi Raita,Boondi Raita,False,CANONICAL_MAPPING
90,2026-10-05,2026-10-05,Lunch,LUNCH,COMMON,Kachumber Salad,Kachumber Salad,False,DIRECT_MENU_ITEM
91,2026-10-05,2026-10-05,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
92,2026-10-05,2026-10-05,E-Tea,E_TEA,COMMON,Crispy Dal Kachori,Crispy Dal Kachori,False,DIRECT_MENU_ITEM
93,2026-10-05,2026-10-05,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
94,2026-10-05,2026-10-05,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea Cake,Tea Cake,False,DIRECT_MENU_ITEM
95,2026-10-05,2026-10-05,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
96,2026-10-05,2026-10-05,Dinner,DINNER,COMMON,Dal Palak,Dal Palak,False,CANONICAL_MAPPING
97,2026-10-05,2026-10-05,Dinner,DINNER,COMMON,Nutry Matar,Nutry Matar,False,CANONICAL_MAPPING
98,2026-10-05,2026-10-05,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
99,2026-10-05,2026-10-05,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
100,2026-10-05,2026-10-05,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
101,2026-10-06,2026-10-06,Breakfast,BREAKFAST,COMMON,Cornflakes,Cornflakes,False,DIRECT_MENU_ITEM
102,2026-10-06,2026-10-06,Breakfast,BREAKFAST,COMMON,Masala Aloo,Masala Aloo,False,DIRECT_MENU_ITEM
103,2026-10-06,2026-10-06,Breakfast,BREAKFAST,COMMON,Sandwich,Sandwich,False,DIRECT_MENU_ITEM
104,2026-10-06,2026-10-06,Breakfast,BREAKFAST,COMMON,Tomato Ketchup,Tomato Ketchup,False,CANONICAL_MAPPING
105,2026-10-06,2026-10-06,Breakfast,BREAKFAST,COMMON,Milk,Milk,False,DIRECT_MENU_ITEM
106,2026-10-06,2026-10-06,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
107,2026-10-06,2026-10-06,Lunch,LUNCH,COMMON,Mix Dal Amritsari,Mix Dal Amritsari,False,CANONICAL_MAPPING
108,2026-10-06,2026-10-06,Lunch,LUNCH,COMMON,Aloo,Aloo,False,DIRECT_MENU_ITEM
109,2026-10-06,2026-10-06,Lunch,LUNCH,COMMON,Mint Raita,Mint Raita,False,CANONICAL_MAPPING
110,2026-10-06,2026-10-06,Lunch,LUNCH,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
111,2026-10-06,2026-10-06,Lunch,LUNCH,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
112,2026-10-06,2026-10-06,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
113,2026-10-06,2026-10-06,E-Tea,E_TEA,COMMON,Chips,Chips,False,DIRECT_MENU_ITEM
114,2026-10-06,2026-10-06,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
115,2026-10-06,2026-10-06,Girls Hostel,E_TEA,GIRLS_HOSTEL,Chips,Chips,False,DIRECT_MENU_ITEM
116,2026-10-06,2026-10-06,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
117,2026-10-06,2026-10-06,Dinner,DINNER,COMMON,Chana Dal Tadka,Chana Dal Tadka,False,CANONICAL_MAPPING
118,2026-10-06,2026-10-06,Dinner,DINNER,COMMON,Gobhi Adraki,Gobhi Adraki,False,DIRECT_MENU_ITEM
119,2026-10-06,2026-10-06,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
120,2026-10-06,2026-10-06,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
121,2026-10-06,2026-10-06,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
122,2026-10-06,2026-10-06,Dessert,DINNER,COMMON,Gulab Jamun,Gulab Jamun,True,DIRECT_MENU_ITEM_DESSERT_ATTACHED_TO_DINNER
123,2026-10-07,2026-10-07,Breakfast,BREAKFAST,COMMON,Poha,Poha,False,DIRECT_MENU_ITEM
124,2026-10-07,2026-10-07,Breakfast,BREAKFAST,COMMON,Besan Chilla,Besan Chilla,False,DIRECT_MENU_ITEM
125,2026-10-07,2026-10-07,Breakfast,BREAKFAST,COMMON,Chutney,Chutney,False,DIRECT_MENU_ITEM
126,2026-10-07,2026-10-07,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
127,2026-10-07,2026-10-07,Breakfast,BREAKFAST,COMMON,Milk,Milk,False,DIRECT_MENU_ITEM
128,2026-10-07,2026-10-07,Lunch,LUNCH,COMMON,Dhaba Dal,Dhaba Dal,False,CANONICAL_MAPPING
129,2026-10-07,2026-10-07,Lunch,LUNCH,COMMON,Kadhai Veg,Kadhai Veg,False,DIRECT_MENU_ITEM
130,2026-10-07,2026-10-07,Lunch,LUNCH,COMMON,Mix Raita,Mix Raita,False,CANONICAL_MAPPING
131,2026-10-07,2026-10-07,Lunch,LUNCH,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
132,2026-10-07,2026-10-07,Lunch,LUNCH,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
133,2026-10-07,2026-10-07,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
134,2026-10-07,2026-10-07,E-Tea,E_TEA,COMMON,Tea Cake,Tea Cake,False,DIRECT_MENU_ITEM
135,2026-10-07,2026-10-07,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
136,2026-10-07,2026-10-07,Girls Hostel,E_TEA,GIRLS_HOSTEL,Crispy Dal Kachori,Crispy Dal Kachori,False,DIRECT_MENU_ITEM
137,2026-10-07,2026-10-07,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
138,2026-10-07,2026-10-07,Dinner,DINNER,COMMON,Butter Chicken,Butter Chicken,False,DIRECT_MENU_ITEM
139,2026-10-07,2026-10-07,Dinner,DINNER,COMMON,Paneer Do Pyaza,Paneer Do Pyaza,False,DIRECT_MENU_ITEM
140,2026-10-07,2026-10-07,Dinner,DINNER,COMMON,Lobiya Dal,Lobiya Dal,False,CANONICAL_MAPPING
141,2026-10-07,2026-10-07,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
142,2026-10-07,2026-10-07,Dinner,DINNER,COMMON,Sirca Onion,Sirca Onion,False,DIRECT_MENU_ITEM
143,2026-10-07,2026-10-07,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
144,2026-10-08,2026-10-08,Breakfast,BREAKFAST,COMMON,Poori Aloo Chana,Poori Aloo Chana,False,DIRECT_MENU_ITEM
145,2026-10-08,2026-10-08,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
146,2026-10-08,2026-10-08,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
147,2026-10-08,2026-10-08,Lunch,LUNCH,COMMON,Kadhi Pakora,Kadhi Pakora,False,CANONICAL_MAPPING
148,2026-10-08,2026-10-08,Lunch,LUNCH,COMMON,Aloo Matar,Aloo Matar,False,DIRECT_MENU_ITEM
149,2026-10-08,2026-10-08,Lunch,LUNCH,COMMON,Plain Rice,Plain Rice,False,CANONICAL_MAPPING
150,2026-10-08,2026-10-08,Lunch,LUNCH,COMMON,Fryums,Fryums,False,DIRECT_MENU_ITEM
151,2026-10-08,2026-10-08,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
152,2026-10-08,2026-10-08,E-Tea,E_TEA,COMMON,Danish Bun,Danish Bun,False,DIRECT_MENU_ITEM
153,2026-10-08,2026-10-08,E-Tea,E_TEA,COMMON,Coffee,Coffee,False,DIRECT_MENU_ITEM
154,2026-10-08,2026-10-08,Girls Hostel,E_TEA,GIRLS_HOSTEL,Namak Pare,Namak Pare,False,DIRECT_MENU_ITEM
155,2026-10-08,2026-10-08,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
156,2026-10-08,2026-10-08,Dinner,DINNER,COMMON,White Chana Khata Mitha Kaddu,White Chana,False,COMPOUND_SPLIT_PRIMARY
157,2026-10-08,2026-10-08,Dinner,DINNER,COMMON,White Chana Khata Mitha Kaddu,Khata Mitha Kaddu,False,COMPOUND_SPLIT_SECONDARY
158,2026-10-08,2026-10-08,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
159,2026-10-08,2026-10-08,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
160,2026-10-08,2026-10-08,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
161,2026-10-08,2026-10-08,Dessert,DINNER,COMMON,Brownie,Brownie,True,DIRECT_MENU_ITEM_DESSERT_ATTACHED_TO_DINNER
162,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Sweet Dalia,Sweet Dalia,False,DIRECT_MENU_ITEM
163,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Boiled Egg,Boiled Egg,False,DIRECT_MENU_ITEM
164,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Banana,Banana,False,DIRECT_MENU_ITEM
165,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Fat Spread,Fat Spread,False,DIRECT_MENU_ITEM
166,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Jam,Jam,False,DIRECT_MENU_ITEM
167,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Bread,Bread,False,DIRECT_MENU_ITEM
168,2026-10-09,2026-10-09,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
169,2026-10-09,2026-10-09,Lunch,LUNCH,COMMON,Panchmail,Panchmail Dal,False,CANONICAL_MAPPING
170,2026-10-09,2026-10-09,Lunch,LUNCH,COMMON,Palak Corn,Palak Corn,False,DIRECT_MENU_ITEM
171,2026-10-09,2026-10-09,Lunch,LUNCH,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
172,2026-10-09,2026-10-09,Lunch,LUNCH,COMMON,Boondi Raita,Boondi Raita,False,CANONICAL_MAPPING
173,2026-10-09,2026-10-09,Lunch,LUNCH,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
174,2026-10-09,2026-10-09,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
175,2026-10-09,2026-10-09,E-Tea,E_TEA,COMMON,Namak Pare,Namak Pare,False,DIRECT_MENU_ITEM
176,2026-10-09,2026-10-09,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
177,2026-10-09,2026-10-09,Girls Hostel,E_TEA,GIRLS_HOSTEL,Danish Bun,Danish Bun,False,DIRECT_MENU_ITEM
178,2026-10-09,2026-10-09,Girls Hostel,E_TEA,GIRLS_HOSTEL,Coffee,Coffee,False,DIRECT_MENU_ITEM
179,2026-10-09,2026-10-09,Dinner,DINNER,COMMON,Chana Toor Dal,Chana Toor Dal,False,CANONICAL_MAPPING
180,2026-10-09,2026-10-09,Dinner,DINNER,COMMON,Nutry Masala,Nutry Masala,False,CANONICAL_MAPPING
181,2026-10-09,2026-10-09,Dinner,DINNER,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
182,2026-10-09,2026-10-09,Dinner,DINNER,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
183,2026-10-09,2026-10-09,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
184,2026-10-10,2026-10-10,Breakfast,BREAKFAST,COMMON,Stuffed Paratha,Stuffed Paratha,False,DIRECT_MENU_ITEM
185,2026-10-10,2026-10-10,Breakfast,BREAKFAST,COMMON,Curd,Plain Curd,False,CANONICAL_MAPPING
186,2026-10-10,2026-10-10,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
187,2026-10-10,2026-10-10,Breakfast,BREAKFAST,COMMON,Fat Spread,Fat Spread,False,DIRECT_MENU_ITEM
188,2026-10-10,2026-10-10,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
189,2026-10-10,2026-10-10,Lunch,LUNCH,COMMON,Dal Makhani,Dal Makhani,False,CANONICAL_MAPPING
190,2026-10-10,2026-10-10,Lunch,LUNCH,COMMON,Green Peas Masala,Green Peas Masala,False,DIRECT_MENU_ITEM
191,2026-10-10,2026-10-10,Lunch,LUNCH,COMMON,Steamed Rice,Plain Rice,False,CANONICAL_MAPPING
192,2026-10-10,2026-10-10,Lunch,LUNCH,COMMON,Jeera Raita,Jeera Raita,False,CANONICAL_MAPPING
193,2026-10-10,2026-10-10,Lunch,LUNCH,COMMON,Green Salad,Green Salad,False,DIRECT_MENU_ITEM
194,2026-10-10,2026-10-10,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
195,2026-10-10,2026-10-10,E-Tea,E_TEA,COMMON,Samosa,Samosa,False,DIRECT_MENU_ITEM
196,2026-10-10,2026-10-10,E-Tea,E_TEA,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
197,2026-10-10,2026-10-10,Girls Hostel,E_TEA,GIRLS_HOSTEL,Namkeen,Namkeen,False,DIRECT_MENU_ITEM
198,2026-10-10,2026-10-10,Girls Hostel,E_TEA,GIRLS_HOSTEL,Tea,Tea,False,DIRECT_MENU_ITEM
199,2026-10-10,2026-10-10,Dinner,DINNER,COMMON,Black Chana Mix Veg,Black Chana,False,COMPOUND_SPLIT_PRIMARY
200,2026-10-10,2026-10-10,Dinner,DINNER,COMMON,Black Chana Mix Veg,Mix Veg,False,COMPOUND_SPLIT_SECONDARY
201,2026-10-10,2026-10-10,Dinner,DINNER,COMMON,Jeera Rice,Jeera Rice,False,CANONICAL_MAPPING
202,2026-10-10,2026-10-10,Dinner,DINNER,COMMON,Kachumber Salad,Kachumber Salad,False,DIRECT_MENU_ITEM
203,2026-10-10,2026-10-10,Dinner,DINNER,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
204,2026-10-11,2026-10-11,Breakfast,BREAKFAST,COMMON,Chole Bhature,Chole Bhature,False,DIRECT_MENU_ITEM
205,2026-10-11,2026-10-11,Breakfast,BREAKFAST,COMMON,Green Chilli,Green Chilli,False,DIRECT_MENU_ITEM
206,2026-10-11,2026-10-11,Breakfast,BREAKFAST,COMMON,Pickle,Pickle,False,DIRECT_MENU_ITEM
207,2026-10-11,2026-10-11,Breakfast,BREAKFAST,COMMON,Tea,Tea,False,DIRECT_MENU_ITEM
208,2026-10-11,2026-10-11,Breakfast,BREAKFAST,COMMON,Onion,Onion,False,DIRECT_MENU_ITEM
209,2026-10-11,2026-10-11,Lunch,LUNCH,COMMON,Veg Biryani,Veg Biryani,False,CANONICAL_MAPPING
210,2026-10-11,2026-10-11,Lunch,LUNCH,COMMON,Tam Aloo,Dum Aloo,False,SPELLING_NORMALISATION
211,2026-10-11,2026-10-11,Lunch,LUNCH,COMMON,Raita Mix,Mix Raita,False,CANONICAL_MAPPING
212,2026-10-11,2026-10-11,Lunch,LUNCH,COMMON,Beetroot Cucumber Salad,Beetroot Cucumber Salad,False,DIRECT_MENU_ITEM
213,2026-10-11,2026-10-11,Lunch,LUNCH,COMMON,Chapati,Chapati,False,DIRECT_MENU_ITEM
214,2026-10-11,2026-10-11,E-Tea,E_TEA,COMMON,Namkeen,Namkeen,False,DIRECT_MENU_ITEM
