dish,serving_size_g,ingredient_count,data_coverage_percent,calculation_status,energy_kcal,protein_g,fat_g,carbohydrate_g,fibre_g,potassium_mg,sodium_mg,calcium_mg,iron_mg
Boondi Raita,100.0,3,100.0,ASSUMPTION_INCLUDED,152.69,5.84,9.38,10.96,2.27,235.55,23.49,101.35,1.03
Bread,50.0,1,100.0,EXTERNAL_DATA_INCLUDED,132.5,4.42,1.6,24.55,1.35,57.5,245.5,130.0,1.8
Bread Pakora,83.0,4,100.0,EXTERNAL_DATA_INCLUDED,234.77,7.35,10.08,27.8,4.27,361.15,152.49,89.64,2.44
Brownie,40.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Butter Chicken,141.0,6,100.0,EXTERNAL_DATA_INCLUDED,241.84,18.24,17.61,2.73,0.76,316.34,74.28,28.95,0.8
Chaas,61.0,2,100.0,ASSUMPTION_INCLUDED,46.78,2.1,2.85,3.19,0.3,87.86,16.53,79.58,0.3
Chana Dal Tadka,58.0,6,100.0,COMPLETE_IFCT,155.95,6.97,6.81,15.96,5.36,348.36,9.42,26.07,2.12
Chana Peanut Salad,95.0,6,100.0,COMPLETE_IFCT,177.51,9.6,7.61,16.59,10.03,466.75,13.45,60.95,2.72
Chana Toor Dal,55.0,5,100.0,COMPLETE_IFCT,142.14,6.53,6.05,14.66,6.1,372.8,7.72,30.79,1.78
Chapati,30.0,1,100.0,COMPLETE_IFCT,96.08,3.17,0.46,19.25,3.41,93.3,0.61,9.28,1.23
Chicken Curry,136.0,6,100.0,COMPLETE_IFCT,199.3,18.21,12.34,3.64,1.2,337.06,34.01,17.93,0.89
Chicken Kolhapuri,142.0,7,100.0,COMPLETE_IFCT,236.74,18.65,16.14,4.12,2.16,381.4,35.01,19.85,1.08
Chips,25.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Chocolate,20.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Chocolate Pie,40.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Chole Bhature,105.0,6,100.0,ASSUMPTION_INCLUDED,368.54,10.0,16.89,42.85,9.07,373.5,10.32,56.15,2.81
Chutney,30.0,4,100.0,COMPLETE_IFCT,10.37,1.07,0.21,0.7,1.43,148.29,7.34,43.41,1.69
Coconut Laddu,60.0,3,100.0,EXTERNAL_DATA_INCLUDED,286.81,4.16,21.15,21.0,4.76,314.55,36.8,80.65,0.99
Coffee,90.0,3,100.0,EXTERNAL_DATA_INCLUDED,89.28,2.61,3.58,11.95,0.0,92.16,20.45,94.48,0.12
Corn Peas Masala,100.0,5,100.0,COMPLETE_IFCT,114.96,4.26,5.58,11.34,3.85,233.25,4.39,15.55,0.82
Cornflakes,30.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Cream Roll,35.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Crispy Dal Kachori,65.0,3,100.0,COMPLETE_IFCT,278.29,8.4,10.54,36.51,2.84,305.4,2.57,15.77,1.41
Cucumber Salad,65.0,2,100.0,COMPLETE_IFCT,13.59,0.45,0.13,2.09,1.28,115.45,3.86,10.97,0.28
Custard,102.0,3,100.0,EXTERNAL_DATA_INCLUDED,114.44,3.02,3.72,17.59,0.33,121.94,20.71,95.16,0.18
Dahi Aloo,97.0,4,100.0,ASSUMPTION_INCLUDED,114.83,2.18,6.81,10.87,1.63,396.82,12.6,58.67,0.8
Dal Makhani,75.0,7,100.0,EXTERNAL_DATA_INCLUDED,183.58,7.12,10.05,15.36,6.41,394.3,44.25,44.28,1.89
Dal Maratha,62.0,6,100.0,COMPLETE_IFCT,167.54,6.87,8.63,14.86,8.15,470.25,8.47,46.69,1.85
Dal Palak,75.0,5,100.0,COMPLETE_IFCT,126.26,5.88,5.55,12.41,6.71,515.8,17.13,58.32,2.14
Danish Bun,45.0,1,100.0,EXTERNAL_DATA_INCLUDED,119.25,3.98,1.44,22.1,1.22,51.75,220.95,117.0,1.62
Dhaba Dal,57.0,7,100.0,COMPLETE_IFCT,147.05,6.95,5.86,15.89,5.24,395.2,6.92,26.24,1.62
Dum Aloo,110.0,5,100.0,ASSUMPTION_INCLUDED,105.15,1.63,5.67,11.5,1.71,395.15,8.21,22.45,0.47
Egg Bhurji,92.0,5,100.0,COMPLETE_IFCT,132.14,7.18,10.37,2.51,0.82,129.57,63.43,33.47,1.08
Egg Curry,94.0,6,100.0,COMPLETE_IFCT,133.41,7.27,10.38,2.69,0.9,139.29,64.09,33.27,1.1
Fat Spread,10.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Fryums,25.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Ghiya Masala,105.0,4,100.0,COMPLETE_IFCT,60.88,0.66,5.16,2.7,2.07,135.15,3.42,15.0,0.27
Gobhi Adraki,100.0,5,100.0,COMPLETE_IFCT,70.3,1.77,5.39,3.2,3.16,276.35,22.8,20.74,0.8
Gobhi Matar,100.0,5,100.0,COMPLETE_IFCT,83.27,3.04,5.29,5.32,3.73,252.45,17.07,21.82,0.9
Green Chilli,5.0,1,100.0,COMPLETE_IFCT,2.11,0.12,0.04,0.29,0.24,17.05,0.12,0.92,0.06
Green Peas Masala,95.0,4,100.0,COMPLETE_IFCT,103.79,4.69,5.15,9.04,4.4,200.1,4.8,21.43,1.05
Green Salad,75.0,4,100.0,COMPLETE_IFCT,21.06,0.69,0.19,3.58,1.42,127.35,5.71,11.66,0.26
Gulab Jamun,60.0,4,100.0,EXTERNAL_DATA_INCLUDED,233.02,5.94,11.26,27.38,0.28,175.9,14.73,182.79,0.88
Halwa,55.0,3,100.0,EXTERNAL_DATA_INCLUDED,276.46,2.84,15.18,32.1,2.43,71.3,0.73,7.5,0.75
Jam,15.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Jeera Aloo,77.0,3,100.0,COMPLETE_IFCT,99.94,1.36,5.49,10.88,1.8,416.42,5.38,24.22,0.81
Jeera Raita,97.0,2,100.0,ASSUMPTION_INCLUDED,75.34,3.38,4.59,5.15,0.61,146.97,26.69,129.66,0.55
Jeera Rice,54.0,3,100.0,COMPLETE_IFCT,205.83,4.04,3.44,38.81,2.17,89.86,2.83,12.84,0.57
Jhal Muri,61.0,6,100.0,COMPLETE_IFCT,186.01,4.51,8.43,22.54,2.18,143.52,3.93,12.53,1.57
Kachumber Salad,75.0,4,100.0,COMPLETE_IFCT,21.06,0.69,0.19,3.58,1.42,127.35,5.71,11.66,0.26
Kadhai Paneer,105.0,5,100.0,COMPLETE_IFCT,163.2,8.2,11.08,7.5,1.2,122.96,10.87,199.02,0.59
Kadhai Veg,100.0,7,100.0,COMPLETE_IFCT,77.65,2.15,5.31,4.82,3.21,217.05,17.24,20.92,0.69
Kadhi Pakora,78.0,4,100.0,ASSUMPTION_INCLUDED,183.35,6.59,10.71,14.6,4.16,299.4,13.67,50.13,1.63
Kesari Kheer,112.0,3,100.0,EXTERNAL_DATA_INCLUDED,175.08,4.17,3.69,31.38,0.75,120.64,21.12,96.14,0.27
Khata Mitha Kaddu,90.0,3,100.0,COMPLETE_IFCT,81.23,0.76,5.14,7.44,2.05,226.8,8.32,23.8,0.52
Khichdi,55.0,3,100.0,COMPLETE_IFCT,216.92,6.32,5.4,34.89,2.71,239.9,2.63,9.31,0.84
Lobiya Dal,55.0,4,100.0,COMPLETE_IFCT,147.77,6.33,5.39,17.66,3.86,406.1,5.84,27.51,1.84
Malka Masoor,55.0,4,100.0,COMPLETE_IFCT,148.42,7.53,5.27,17.04,3.53,269.6,4.82,16.29,2.18
Masala Aloo,95.0,4,100.0,COMPLETE_IFCT,98.0,1.27,5.21,11.11,1.59,393.8,5.0,9.63,0.45
Matar Paneer,110.0,5,100.0,COMPLETE_IFCT,183.52,10.1,11.04,10.6,2.58,159.16,11.51,203.81,0.94
Mathi,43.0,2,100.0,COMPLETE_IFCT,195.14,3.63,8.27,25.99,0.97,51.8,0.54,7.14,0.62
Milk,150.0,1,100.0,COMPLETE_IFCT,109.35,4.89,6.72,7.41,0.0,172.5,38.19,177.0,0.22
Mint Raita,100.0,2,100.0,ASSUMPTION_INCLUDED,69.32,3.4,4.1,4.69,0.59,157.4,24.6,126.7,0.99
Mix Dal Amritsari,55.0,7,100.0,COMPLETE_IFCT,144.49,6.78,5.87,15.38,5.27,381.05,7.17,26.47,1.64
Mix Pakora,88.0,5,100.0,COMPLETE_IFCT,181.07,6.2,9.44,17.06,5.03,416.6,9.38,25.45,1.77
Mix Raita,100.0,3,100.0,ASSUMPTION_INCLUDED,59.5,2.63,3.41,4.55,0.48,130.4,21.23,91.85,0.2
Mix Veg,95.0,7,100.0,COMPLETE_IFCT,85.04,2.29,5.28,6.59,3.26,301.4,17.43,22.92,0.78
Moong Dal,56.0,5,100.0,COMPLETE_IFCT,152.46,7.53,5.62,17.28,3.52,433.06,6.03,24.71,1.45
Moong Sabut,55.0,4,100.0,COMPLETE_IFCT,139.81,6.98,5.39,15.12,5.52,386.9,5.48,30.72,1.53
Muffin,40.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Namak Pare,43.0,2,100.0,COMPLETE_IFCT,195.14,3.63,8.27,25.99,0.97,51.8,0.54,7.14,0.62
Namkeen,30.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Namkeen Seviyan,85.0,5,100.0,COMPLETE_IFCT,199.36,5.27,5.26,31.69,5.19,144.9,3.64,16.05,1.13
Nutry Masala,74.0,6,100.0,ASSUMPTION_INCLUDED,173.99,11.23,11.05,6.53,7.36,559.69,4.21,77.41,2.65
Nutry Matar,95.0,5,100.0,ASSUMPTION_INCLUDED,175.72,11.45,10.08,8.84,7.97,537.0,4.81,73.16,2.66
Omelette,82.0,5,100.0,COMPLETE_IFCT,128.8,7.06,10.35,1.87,0.62,112.67,62.56,31.97,1.05
Onion,40.0,1,100.0,COMPLETE_IFCT,19.22,0.6,0.1,3.82,0.98,68.4,2.2,8.41,0.17
Palak Corn,110.0,5,100.0,COMPLETE_IFCT,93.87,2.58,5.79,7.39,2.66,443.75,24.27,46.49,1.71
Panchmail Dal,55.0,8,100.0,COMPLETE_IFCT,146.21,7.02,5.68,16.0,4.59,362.06,6.48,22.7,1.69
Paneer Butter Masala,101.0,6,100.0,EXTERNAL_DATA_INCLUDED,210.39,8.34,16.33,7.7,0.76,105.75,52.13,209.02,0.5
Paneer Chettinad,86.0,5,100.0,COMPLETE_IFCT,196.58,8.36,14.79,7.52,1.64,128.8,11.41,197.25,0.66
Paneer Do Pyaza,100.0,4,100.0,COMPLETE_IFCT,168.75,8.22,11.05,8.95,1.17,118.66,11.51,199.54,0.55
Paneer Kolhapuri,86.0,5,100.0,COMPLETE_IFCT,196.58,8.36,14.79,7.52,1.64,128.8,11.41,197.25,0.66
Paneer Lababdar,95.0,5,100.0,COMPLETE_IFCT,167.37,8.28,11.46,7.69,0.76,104.31,13.55,207.58,0.49
Pav Bhaji,158.0,8,100.0,EXTERNAL_DATA_INCLUDED,217.11,6.05,8.05,29.47,4.04,416.92,257.75,123.1,2.19
Pickle,15.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Pink Sauce Pasta,60.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Plain Curd,100.0,1,100.0,ASSUMPTION_INCLUDED,72.9,3.26,4.48,4.94,0.0,115.0,25.46,118.0,0.15
Plain Rice,50.0,1,100.0,COMPLETE_IFCT,175.79,3.9,0.28,38.58,1.87,71.0,1.58,4.06,0.36
Poha,67.0,5,100.0,COMPLETE_IFCT,220.55,4.43,7.49,33.11,2.37,125.62,2.52,9.9,2.04
Poori,38.0,2,100.0,COMPLETE_IFCT,168.08,3.17,8.46,19.25,3.41,93.3,0.61,9.28,1.23
Poori Aloo Chana,108.0,7,100.0,COMPLETE_IFCT,283.77,6.67,14.34,30.93,8.11,429.65,7.56,37.63,2.48
Rajmah,69.0,6,100.0,COMPLETE_IFCT,148.39,6.49,5.62,17.12,5.79,464.64,6.13,43.07,2.0
Rusk,25.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Sabudana Kheer,117.0,3,100.0,EXTERNAL_DATA_INCLUDED,124.72,2.87,3.63,20.4,1.15,155.99,23.2,100.99,0.33
Sabut Masoor,55.0,4,100.0,COMPLETE_IFCT,141.39,6.97,5.24,15.82,5.45,260.6,5.1,25.83,2.34
Samosa,75.0,4,100.0,COMPLETE_IFCT,207.02,3.78,10.27,24.22,1.84,224.2,1.98,10.78,0.77
Sandwich,105.0,4,100.0,EXTERNAL_DATA_INCLUDED,177.97,4.84,5.76,26.22,2.28,146.2,282.2,137.52,1.97
Sirca Onion,40.0,2,100.0,COMPLETE_IFCT,18.59,0.62,0.09,3.66,1.02,75.15,5.4,8.22,0.19
Stuffed Paratha,65.0,3,100.0,COMPLETE_IFCT,187.07,4.54,5.66,28.65,4.89,232.6,1.64,14.28,1.75
Sweet Dalia,123.0,3,100.0,EXTERNAL_DATA_INCLUDED,208.9,6.4,4.09,36.12,3.08,207.66,21.18,103.96,1.48
Tea,90.0,3,100.0,EXTERNAL_DATA_INCLUDED,89.28,2.61,3.58,11.95,0.0,92.16,20.45,94.48,0.12
Tea Cake,35.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Tomato,40.0,1,100.0,COMPLETE_IFCT,7.55,0.3,0.1,1.28,0.63,66.8,4.74,3.56,0.09
Tomato Ketchup,15.0,1,0.0,INSUFFICIENT_DATA,,,,,,,,,
Veg Biryani,100.0,6,100.0,COMPLETE_IFCT,247.51,5.11,5.39,43.51,3.42,221.45,8.35,13.92,0.71
Veg Fried Rice,85.0,5,100.0,COMPLETE_IFCT,212.2,4.06,5.34,36.03,2.95,158.55,9.79,20.52,0.56
Veg Jaipuri,100.0,7,100.0,COMPLETE_IFCT,122.05,4.92,7.43,8.46,2.51,263.03,12.55,86.01,0.75
Veg Jalfrazi,95.0,6,100.0,COMPLETE_IFCT,68.22,1.23,5.29,3.54,2.71,200.05,15.02,25.34,0.57
Veg Kofta Curry,105.0,6,100.0,COMPLETE_IFCT,162.26,3.95,10.95,11.43,3.83,318.6,7.17,17.66,1.18
Veg Korma,95.0,7,100.0,ASSUMPTION_INCLUDED,123.58,2.81,9.03,7.41,3.58,302.95,17.82,40.86,0.84
Veg Manchurian,88.0,5,100.0,COMPLETE_IFCT,143.75,2.37,8.27,14.34,2.46,175.45,16.49,30.3,0.55
Vermicelli Payasam,115.0,4,100.0,EXTERNAL_DATA_INCLUDED,198.3,4.55,6.67,30.03,1.86,124.84,21.03,98.4,0.53
Vermicelli Pudding with Condensed Milk,90.0,4,100.0,EXTERNAL_DATA_INCLUDED,195.3,5.22,4.06,34.65,1.86,171.45,42.53,122.13,0.51
White Chana,67.0,5,100.0,ASSUMPTION_INCLUDED,142.25,6.01,6.62,13.96,8.28,339.34,10.77,49.87,2.17
Yellow Dal Tadka,58.0,6,100.0,COMPLETE_IFCT,139.38,6.64,5.63,14.68,7.66,452.16,8.88,53.87,1.9
