dish,ingredient,quantity_g,basis,source,source_type,reason,notes
Aloo Onion Kadhi,"Bengal gram, flour",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Onion Kadhi,Potato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Onion Kadhi,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Aloo Onion Kadhi,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Amritsari Badi,"Black gram, dal",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Amritsari Badi,Potato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Amritsari Badi,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Amritsari Badi,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Amritsari Badi,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Banana,Banana,100.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Beetroot Cucumber Salad,Beetroot,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Beetroot Cucumber Salad,Cucumber,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Beetroot Cucumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Chilla,"Bengal gram, flour",40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Chilla,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Chilla,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Chilla,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Chilla,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Ka Halwa,"Bengal gram, flour",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Ka Halwa,Ghee,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Ka Halwa,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Besan Ka Halwa,"Milk, whole, cow",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Biscuit,Commercial biscuit,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Chana,"Bengal gram, whole",35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Chana,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Chana,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Chana,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Dal Tadka,"Black gram, whole",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Dal Tadka,Onion,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Dal Tadka,Tomato,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Dal Tadka,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Black Dal Tadka,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Boiled Egg,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Boondi Raita,Curd / Dahi,80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Boondi Raita,"Bengal gram, flour",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Boondi Raita,Vegetable oil,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Bread,Commercial bread,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Bread Pakora,Commercial bread,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Bread Pakora,Potato,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Bread Pakora,"Bengal gram, flour",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Bread Pakora,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Brownie,Commercial brownie,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Butter Chicken,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Butter Chicken,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Butter Chicken,Butter,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Butter Chicken,"Milk, whole, cow",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Butter Chicken,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Butter Chicken,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chaas,Curd / Dahi,50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Dal Tadka,"Bengal gram, dal",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Dal Tadka,Onion,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Dal Tadka,Tomato,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Dal Tadka,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Dal Tadka,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Peanut Salad,"Bengal gram, whole",40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Peanut Salad,Groundnut / Peanut,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Peanut Salad,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Peanut Salad,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Peanut Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Toor Dal,"Bengal gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Toor Dal,"Red gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Toor Dal,Onion,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Toor Dal,Tomato,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chana Toor Dal,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chapati,"Wheat flour, atta",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Curry,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Curry,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Curry,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Curry,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Curry,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Curry,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Kolhapuri,"Chicken meat, breast",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Kolhapuri,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Kolhapuri,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Kolhapuri,"Coconut, dry",5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chicken Kolhapuri,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chips,Commercial chips,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chocolate,Commercial chocolate,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chocolate Pie,Commercial chocolate,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chole Bhature,"Wheat flour, refined",40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chole Bhature,Kabuli chana,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chole Bhature,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chole Bhature,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chole Bhature,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chutney,Mint leaves,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chutney,Coriander leaves,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chutney,Green chilli,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Chutney,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Coconut Laddu,"Coconut, dry",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Coconut Laddu,Condensed milk,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Coconut Laddu,"Sugar, refined",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Coffee,"Milk, whole, cow",100.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Coffee,"Sugar, refined",8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
Coffee,Coffee powder,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_HOSTEL_PORTION_MODEL,PROJECT_ASSUMPTION,Standardized institutional serving portion model,Raw ingredient issuance per single standard serving
